Coordinate1,Coordinate2,Energy
0.8800,60.0000,-75.91312
0.8800,70.0000,-75.94841
0.8800,80.0000,-75.97320
0.8800,90.0000,-75.98922
0.8800,100.0000,-75.99756
0.8800,110.0000,-75.99925
0.8800,120.0000,-75.99541
0.8800,130.0000,-75.98739
0.8800,140.0000,-75.97676
0.8800,150.0000,-75.96538
0.8800,160.0000,-75.95521
0.9200,60.0000,-75.93057
0.9200,70.0000,-75.96295
0.9200,80.0000,-75.98582
0.9200,90.0000,-76.00049
0.9200,100.0000,-76.00781
0.9200,110.0000,-76.00868
0.9200,120.0000,-76.00413
0.9200,130.0000,-75.99542
0.9200,140.0000,-75.98412
0.9200,150.0000,-75.97205
0.9200,160.0000,-75.96126
0.9600,60.0000,-75.93910
0.9600,70.0000,-75.96877
0.9600,80.0000,-75.98987
0.9600,90.0000,-76.00327
0.9600,100.0000,-76.00964
0.9600,110.0000,-76.00973
0.9600,120.0000,-76.00451
0.9600,130.0000,-75.99518
0.9600,140.0000,-75.98324
0.9600,150.0000,-75.97051
0.9600,160.0000,-75.95910
1.0000,60.0000,-75.94078
1.0000,70.0000,-75.96792
1.0000,80.0000,-75.98736
1.0000,90.0000,-75.99958
1.0000,100.0000,-76.00505
1.0000,110.0000,-76.00443
1.0000,120.0000,-75.99861
1.0000,130.0000,-75.98871
1.0000,140.0000,-75.97618
1.0000,150.0000,-75.96284
1.0000,160.0000,-75.95081
1.0400,60.0000,-75.93721
1.0400,70.0000,-75.96198
1.0400,80.0000,-75.97986
1.0400,90.0000,-75.99098
1.0400,100.0000,-75.99561
1.0400,110.0000,-75.99434
1.0400,120.0000,-75.98798
1.0400,130.0000,-75.97759
1.0400,140.0000,-75.96455
1.0400,150.0000,-75.95062
1.0400,160.0000,-75.93799
1.0800,60.0000,-75.92967
1.0800,70.0000,-75.95218
1.0800,80.0000,-75.96860
1.0800,90.0000,-75.97868
1.0800,100.0000,-75.98255
1.0800,110.0000,-75.98069
1.0800,120.0000,-75.97387
1.0800,130.0000,-75.96306
1.0800,140.0000,-75.94957
1.0800,150.0000,-75.93512
1.0800,160.0000,-75.92190
1.1200,60.0000,-75.91913
1.1200,70.0000,-75.93949
1.1200,80.0000,-75.95453
1.1200,90.0000,-75.96363
1.1200,100.0000,-75.96679
1.1200,110.0000,-75.96443
1.1200,120.0000,-75.95722
1.1200,130.0000,-75.94607
1.1200,140.0000,-75.93222
1.1200,150.0000,-75.91730
1.1200,160.0000,-75.90352
1.1600,60.0000,-75.90639
1.1600,70.0000,-75.92468
1.1600,80.0000,-75.93838
1.1600,90.0000,-75.94657
1.1600,100.0000,-75.94910
1.1600,110.0000,-75.94629
1.1600,120.0000,-75.93878
1.1600,130.0000,-75.92738
1.1600,140.0000,-75.91325
1.1600,150.0000,-75.89793
1.1600,160.0000,-75.88362
1.2000,60.0000,-75.89205
1.2000,70.0000,-75.90833
1.2000,80.0000,-75.92076
1.2000,90.0000,-75.92809
1.2000,100.0000,-75.93004
1.2000,110.0000,-75.92687
1.2000,120.0000,-75.91912
1.2000,130.0000,-75.90756
1.2000,140.0000,-75.89323
1.2000,150.0000,-75.87760
1.2000,160.0000,-75.86279
1.2400,60.0000,-75.87661
1.2400,70.0000,-75.89091
1.2400,80.0000,-75.90210
1.2400,90.0000,-75.90863
1.2400,100.0000,-75.91006
1.2400,110.0000,-75.90660
1.2400,120.0000,-75.89870
1.2400,130.0000,-75.88706
1.2400,140.0000,-75.87262
1.2400,150.0000,-75.85674
1.2400,160.0000,-75.84150
1.2800,60.0000,-75.86045
1.2800,70.0000,-75.87279
1.2800,80.0000,-75.88279
1.2800,90.0000,-75.88855
1.2800,100.0000,-75.88954
1.2800,110.0000,-75.88584
1.2800,120.0000,-75.87786
1.2800,130.0000,-75.86621
1.2800,140.0000,-75.85174
1.2800,150.0000,-75.83572
1.2800,160.0000,-75.82011
